Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Capacitance,Voltage,Is Generic,Symbol Type,Nobom,Mouser Part Number,Digikey Part Number,Verified Pad Assignment,Temperature Range Low,Verified Attributes,Verified Pin Names,Digikey Description,Verified Geometry,Mfg Package Ident,Temperature Range High,Centroid Not Specified,Ipc Land Pattern Name,Imported,Component Link 1 Url,Component Link 1 Description,If Max,Vr Max,Vault Guid,Vbr Min,Footprint Variant Name 2,Footprint Variant Name 1,Footprint Variant Name 0,Vf Max,Ciiva Ids,Package Version,Release Date,Vault Revision,Trr Max,Ir Max,Component Link 3 Description,Import Ts,Green,Package Description,Imported From,Configuration,Conn 0 Type,Conn 1 Type,Mounting Technology,Conn 2 Type,Component Link 3 Url,Resistance,Resistor,Inductance,Footprint Parameters 0,Operating Force,Termination Style,Operating Temperature,Actuator Orientation,Mechanical Life,"Actuator Height Off Pcb, From Pins",Standard Package,Outline,Switch Function,Circuit,Contact Rating @ Voltage,Mounting Type,Packaging,Switch Travel,Actuator Type,Illumination,Device Class L2,Device Class L1,Other Names,Device Class L3,Conn 22 Type,Conn 7 Type,Conn 41 Type,Conn 10 Type,Conn 3 Type,Conn 34 Type,Conn 29 Type,Conn 19 Type,Conn 47 Type,Conn 11 Type,Conn 17 Type,Conn 26 Type,Conn 14 Type,Conn 20 Type,Conn 38 Type,Conn 18 Type,Conn 16 Type,Conn 25 Type,Conn 28 Type,Conn 5 Type,Conn 21 Type,Conn 37 Type,Conn 40 Type,Conn 9 Type,Conn 31 Type,Conn 23 Type,Conn 44 Type,Conn 15 Type,Conn 27 Type,Conn 39 Type,Conn 42 Type,Conn 12 Type,Conn 30 Type,Conn 35 Type,Conn 6 Type,Conn 33 Type,Conn 13 Type,Conn 43 Type,Conn 46 Type,Conn 36 Type,Conn 8 Type,Conn 32 Type,Conn 24 Type,Conn 4 Type,Conn 45 Type,Conn 48 Type,Supply Voltage,Category 9E07530Daf1645C0,Category 08B8C5B23945D37F,Reach Svhc Compliance,Category 505D9D57619A8B9A,Lifecycle Status,Mounting Style,Category 181Ad51029E0C3Dd,Bandwidth,Supply Voltage Dc,Slew Rate,Supply Current,Category 20B3Edb914A9Fb74,Fixed Output Optionsv,Sub Family,Iq Typm A,Vin Max V,Vin Min V,Accuracy,Datasheet Version,Vdo Typm V,Vout Adjmaxv,Iout Max A,Vout Adjminv
C1 C10 C101 C102 C103 C16 C18 C2 C21 C29 C30 C32 C34 C58 C59 C60 C7 C75 C77 C78 C79 C8 C80 C83 C84 C85 C87 C88 C89 C91 C92 C97 C99,Generic Capacitor (Non-Polarized) (1e-07F),Generic,Capacitor (1e-07F),,0402 (1005 metric),33,1e-07F,10V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C100 C90 C93 C96 C98,Generic Capacitor (Non-Polarized) (1e-09F),Generic,Capacitor (1e-09F),,0402 (1005 metric),5,1e-09F,10V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C104,Generic Capacitor (Non-Polarized) (1.8e-08F),Generic,Capacitor (1.8e-08F),,0402 (1005 metric),1,1.8e-08F,10V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C105 C81,Generic Capacitor (Non-Polarized) (2.2e-11F),Generic,Capacitor (2.2e-11F),,0402 (1005 metric),2,2.2e-11F,10V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11 C3,Generic Capacitor (Non-Polarized) (1e-05F),Generic,Capacitor (1e-05F),,0603 (1608 metric),2,1e-05F,10V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12 C13 C14 C15 C19 C31 C33 C35 C76 C82 C86,Generic Capacitor (Non-Polarized) (1e-06F),Generic,Capacitor (1e-06F),,0402 (1005 metric),11,1e-06F,10V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C17 C4 C5 C6 C9,Generic Capacitor (Non-Polarized) (1e-08F),Generic,Capacitor (1e-08F),,0402 (1005 metric),5,1e-08F,10V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20,Generic Capacitor (Non-Polarized) (1e-07F),Generic,Capacitor (1e-07F),,0402 (1005 metric),0,1e-07F,10V,true,Capacitor,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C41 C40,Generic Capacitor (Non-Polarized) (1e-07F),Generic,Capacitor (1e-07F),,0805 (2012 metric),2,1e-07F,100V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C42 C43,Generic Capacitor (Non-Polarized) (1e-06F),Generic,Capacitor (1e-06F),,1206 (3216 metric),2,1e-06F,100V,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
